Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Werribee,Persist Fitness,85 Riverside Avenue,VIC,3030,2021-07-14,14/07/2021,9:30am - 11:00am,Case attended venue,2021-07-15,15/07/2021,10:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:30:00,11:00:00
Docklands,"Collins Square (Level 19, Tower 4)",727 Collins St,VIC,3008,2021-07-13,13/07/2021,8:15am - 5:30pm,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:15:00,17:30:00
Docklands,"Collins Square (Level 19, Tower 4)",727 Collins St,VIC,3008,2021-07-14,14/07/2021,9:00am - 6:30pm,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,18:30:00
Docklands,"Collins Square (Level 19, Tower 4)",727 Collins St,VIC,3008,2021-07-15,15/07/2021,10:50am - 3:15pm,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:50:00,15:15:00
Docklands,End of Trip Facility in Collins Square (Car Park 1),727 Collins St,VIC,3008,2021-07-13,13/07/2021,7:55am - 8:30am,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:55:00,08:30:00
Docklands,End of Trip Facility in Collins Square (Car Park 1),727 Collins St,VIC,3008,2021-07-15,15/07/2021,7:50am - 8:30am,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:50:00,08:30:00
Docklands,Collins Square Ground Floor Foyer (Tower 4),727 Collins St,VIC,3008,2021-07-14,14/07/2021,9:00am - 9:05am,Case attended,2021-07-16,16/07/2021,23:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:00:00,09:05:00
Public Transport,Metro Trains - Glen Waverley Line (Holmesglen Station to Richmond Station),,VIC,,2021-07-14,14/07/2021,3:26pm - 3:48pm,Case travelled on train,2021-07-16,16/07/2021,23:22:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:26:00,15:48:00
Public Transport,Metro Trains - Glen Waverley Line (Richmond Station to Holmesglen Station),,VIC,,2021-07-14,14/07/2021,10:13pm - 10:34pm,Case travelled on train,2021-07-16,16/07/2021,23:22:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",22:13:00,22:34:00
Newhaven,Phillip Island Chocolate Factory,930 Phillip Island Road,VIC,3925,2021-07-13,13/07/2021,2:50pm - 3:35pm,Case attended venue,2021-07-16,16/07/2021,21:54:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:50:00,15:35:00
Richmond,F45 Richmond,28 Cremorne Street,VIC,3121,2021-07-14,14/07/2021,6:50am - 8:05am,Case attended venue,2021-07-16,16/07/2021,21:43:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:50:00,08:05:00
